"year","sex","age","comp_use","employment","employment_type","hours_worked","employees_workplace","importance_comp","complexity_comp","experience","sector","skill_change","ethnicity","region","hourly_pay","weight","employees_comp","pid","highest_qualification","knowledge_share","experience_share"
2006,2,40,1,1,1,45,2,1,3,22,1,1,1,8,20.299144744873,2863,1,128372,1,22.65625,77.34375
2001,2,44,1,1,1,37,4,1,2,25,1,2,1,8,7.27650737762451,5124,1,128391,2,16,84
2001,1,47,1,1,1,55,3,1,2,32,2,1,1,8,9.61538410186768,6542,1,128401,3,22.4,77.6
2006,1,30,1,1,1,40,1,1,4,10,1,1,1,8,NA,3574,1,128432,4,27.6923076923077,72.3076923076923
2006,2,35,1,1,1,37,3,1,1,19,1,3,1,8,7.27650737762451,5647,1,128442,1,16.6666666666667,83.3333333333333
2006,2,36,1,1,1,40,4,1,3,15,2,1,1,8,16.5865383148193,2824,1,128472,4,27.1929824561404,72.8070175438597
2006,1,47,1,1,1,37,4,1,2,30,2,3,1,8,14.553014755249,3418,1,128482,2,22.7272727272727,77.2727272727273
2001,1,23,1,1,1,30.0000019073486,3,3,1,4,1,3,1,8,4.17999982833862,10866,1,128491,1,13.3333333333333,86.6666666666667
2006,1,27,1,1,1,37,3,1,3,3,2,NA,1,8,9,5130,1,128492,1,30.9859154929577,69.0140845070423
2001,2,22,1,1,2,0,3,3,1,0,1,1,1,8,4,3546,2,128521,1,19.5402298850575,80.4597701149425
2001,2,34,1,1,1,37,4,2,2,16,1,3,1,8,7.01663208007812,5780,1,128611,3,16.6666666666667,83.3333333333333
2006,1,47,2,1,1,40,3,5,NA,32,1,1,1,8,6.49038457870483,6312,5,129011,1,23.1481481481481,76.8518518518518
2006,1,44,1,1,1,60,4,1,3,25,1,1,1,8,32.0512809753418,6876,1,129021,4,21.4285714285714,78.5714285714286
2006,1,22,1,1,2,24,5,1,3,1,1,1,1,8,11.3299999237061,17071,1,129041,1,29.4736842105263,70.5263157894737
2006,2,59,1,1,1,48,2,1,2,35,2,1,1,8,25.6410274505615,2835,1,129081,4,24.8062015503876,75.1937984496124
2006,2,43,1,1,2,30,4,1,2,24,2,1,1,8,11.5384616851807,6278,1,129141,1,25,75
2006,2,37,1,1,2,23,3,1,2,8,2,1,1,8,NA,6526,2,129161,1,20.3389830508475,79.6610169491525
2006,2,60,1,1,1,37,3,2,2,23,2,1,1,8,9.36271095275879,2550,1,129171,1,20.8955223880597,79.1044776119403
2001,2,27,1,1,2,29,3,1,3,4,2,1,4,8,4.97347497940063,3069,1,129181,2,27,73
2006,2,45,1,1,1,37,3,1,2,22,2,1,1,8,NA,6278,1,129311,3,23.4234234234234,76.5765765765766
2001,1,50,1,1,1,40,2,3,2,34,1,1,1,8,7.69230794906616,3500,3,129321,1,22.1374045801527,77.8625954198473
2006,1,37,1,1,1,75,4,2,3,10,1,1,1,8,NA,3574,1,129331,1,21.1678832116788,78.8321167883212
2001,1,32,1,1,1,45,5,1,3,9,1,2,1,8,6.69999980926514,3169,1,129371,2,12.2448979591837,87.7551020408163
2006,2,40,1,1,1,31,2,1,2,19,2,1,1,8,7.69999980926514,5432,1,129371,1,24.1379310344828,75.8620689655172
2006,1,42,1,1,1,40,4,2,2,21,1,1,1,8,31.25,6425,3,129391,2,25.1748251748252,74.8251748251748
2001,1,29,2,1,1,40,3,5,NA,14,1,3,1,8,6.00961542129517,3618,1,129401,1,9.19540229885057,90.8045977011494
2006,2,59,1,1,2,16,3,2,1,20,1,1,1,8,NA,5599,3,129401,4,19.2592592592593,80.7407407407407
2006,1,58,1,1,2,25,3,1,2,37,2,1,1,8,NA,3182,1,129421,NA,26.7716535433071,73.2283464566929
2006,2,55,1,1,2,-3,5,2,3,38,1,1,1,8,NA,2550,1,129431,1,19.620253164557,80.379746835443
2006,1,32,1,1,1,60,3,1,4,15,1,1,1,8,6.41025638580322,7149,1,129491,3,24.4444444444444,75.5555555555556
2001,2,29,1,1,1,45,2,1,3,8,1,1,1,8,9.82905960083008,6034,1,129521,4,23.2758620689655,76.7241379310345
2001,2,53,1,1,1,46,2,1,2,37,1,1,1,8,5.64381265640259,5483,1,129571,1,26.5151515151515,73.4848484848485
2001,2,46,1,1,2,1,3,1,2,11,2,NA,1,8,9.61999988555908,2562,2,130021,4,21.5686274509804,78.4313725490196
2001,2,41,2,1,1,0,5,3,2,18,2,1,1,8,NA,2710,5,130031,4,25.2032520325203,74.7967479674797
2001,2,52,1,1,2,25,2,1,2,26,2,3,1,8,6.19999980926514,5483,1,130071,4,17.5,82.5
2006,1,38,1,1,1,50,3,1,4,17,1,1,1,8,32.6923065185547,7149,5,130082,2,26.3157894736842,73.6842105263158
2006,1,30,1,1,2,16,2,1,4,8,1,3,1,8,14.6000003814697,6783,3,130102,NA,29.5081967213115,70.4918032786885
2006,2,36,1,1,1,38,2,1,3,18,1,1,3,8,8.09716606140137,5647,1,130112,1,23.1578947368421,76.8421052631579
2006,2,28,1,1,2,25,4,1,2,10,1,1,1,8,10.6199998855591,7746,2,130122,1,17.5182481751825,82.4817518248175
2001,2,36,2,1,2,3,2,3,1,11,2,2,1,8,4,6479,5,130161,1,29.2307692307692,70.7692307692308
2006,2,36,1,1,1,40,4,1,2,20,1,1,1,8,9.61538505554199,5429,2,130162,1,20.7547169811321,79.2452830188679
2001,1,37,1,1,1,45,4,3,8,20,2,3,1,8,8,3617,5,130201,2,27.0833333333333,72.9166666666667
2006,2,53,2,1,1,40,3,4,1,30,1,3,1,8,10.0961542129517,5298,4,130202,1,18.2926829268293,81.7073170731707
2006,1,55,1,1,1,50,4,2,3,32,3,3,1,8,NA,7467,1,130232,2,22.4806201550388,77.5193798449613
2001,2,54,1,1,2,22,4,1,1,23,1,2,1,8,5.5,2900,1,130251,1,22.8571428571429,77.1428571428572
2006,2,51,1,1,1,30,5,1,2,31,2,1,1,8,11.2179479598999,2690,2,130252,3,19.8412698412698,80.1587301587302
2001,2,30,1,1,1,38,5,2,2,12,1,1,1,8,12.1457490921021,5681,4,130281,4,23.2558139534884,76.7441860465116
2006,1,32,1,1,1,45,3,2,2,15,1,1,1,8,14.6000003814697,7149,3,130282,1,25.5813953488372,74.4186046511628
2006,1,37,1,1,1,46,2,1,1,21,1,3,1,8,8.36120414733887,6680,3,130292,2,24.5614035087719,75.4385964912281
2006,2,37,2,1,1,30,3,5,NA,6,2,3,1,8,7.19999980926514,2959,2,130332,1,14.0625,85.9375
2006,1,54,1,1,1,32,4,1,2,33,2,3,1,8,14.4230766296387,7467,2,130362,3,23.9316239316239,76.0683760683761
2006,2,58,1,1,2,24,2,1,2,30,1,3,1,8,7.60416650772095,5380,1,130372,3,23.3333333333333,76.6666666666667
2001,1,37,2,1,1,43,2,5,NA,20,1,1,1,8,4.1860466003418,3690,6,130381,1,22.5,77.5
2006,2,59,1,1,1,90,4,2,2,38,3,3,1,8,5.76923084259033,2586,1,130382,1,23.943661971831,76.056338028169
2006,1,33,2,1,1,45,1,3,2,15,1,1,1,8,6.66666650772095,6680,6,130392,1,27.8195488721804,72.1804511278195
2006,1,53,1,1,1,37,2,1,1,34,1,3,1,8,16.6320171356201,6251,1,130482,2,28.1553398058252,71.8446601941748
2006,1,23,1,1,1,38,4,1,2,5,1,1,1,8,12.6518220901489,4268,1,130502,1,27.8260869565217,72.1739130434783
2006,1,39,1,1,1,50,3,1,2,21,1,1,1,8,16.5384616851807,3574,5,130522,1,22.5165562913907,77.4834437086093
2001,2,26,1,1,1,12,1,4,1,8,2,2,1,8,5,7092,6,130541,1,25,75
2001,1,37,1,1,1,75,5,1,2,15,2,1,1,8,16.6666660308838,6820,1,130561,4,27.972027972028,72.027972027972
2001,2,37,1,1,2,28,5,1,2,12,1,1,1,8,7.25,6114,1,130571,3,32.4324324324324,67.5675675675676
2001,2,50,1,1,2,20,2,1,2,30,1,1,1,8,7.21153879165649,5483,1,130581,1,26.3157894736842,73.6842105263158
2001,1,60,1,1,2,16,2,2,2,35,2,3,1,8,20,3235,1,130611,3,22.9885057471264,77.0114942528736
2001,2,54,1,1,2,16,2,5,NA,25,1,3,1,8,4,2900,3,130641,2,25,75
2006,2,20,1,1,1,40,2,1,2,3,1,1,1,8,6.25,11088,1,131011,1,23.015873015873,76.984126984127
2006,2,28,1,1,1,39,2,2,2,8,1,1,1,8,10.3550300598145,7791,1,131031,3,17.1974522292994,82.8025477707006
2006,2,33,1,1,2,22,1,1,4,12,1,3,4,8,NA,5561,2,131041,4,25.9259259259259,74.0740740740741
2006,1,50,1,1,1,47,5,1,4,29,1,3,1,8,22.0949268341064,3734,1,131061,4,27.7777777777778,72.2222222222222
2006,1,36,2,1,1,40,3,5,NA,20,2,2,1,8,6.5,7107,NA,131071,2,0,100
2006,2,52,2,1,2,20,4,4,1,30,1,1,1,8,7.55000019073486,5172,4,131091,1,20,80
2006,2,50,1,1,2,22,4,3,1,35,3,3,1,8,6,7651,3,131101,4,23.2558139534884,76.7441860465116
2006,1,49,1,1,1,38,5,1,2,32,2,1,1,8,NA,7540,1,131111,4,22.3300970873786,77.6699029126214
2006,2,33,1,1,2,18,3,2,2,8,2,1,1,8,5.87606859207153,5354,1,131131,2,20.3883495145631,79.6116504854369
2006,1,51,2,1,1,37,5,1,2,36,2,1,1,8,12,6212,5,131141,2,23.7179487179487,76.2820512820513
2006,1,40,1,1,1,45,2,1,2,22,1,3,1,8,17.9625358581543,6876,1,131191,2,20.2247191011236,79.7752808988764
2001,2,43,1,1,2,24,3,1,2,15,2,3,1,8,12,5036,1,131231,3,24.468085106383,75.531914893617
2001,1,28,1,1,1,60.0000038146973,4,1,4,7,1,3,1,8,13.1410255432129,3622,1,131261,4,34.2857142857143,65.7142857142857
2001,2,37,1,1,1,45,4,1,2,15,1,1,1,8,32.0512847900391,6616,1,131271,4,24.2718446601942,75.7281553398058
2006,1,24,1,1,1,40,2,1,2,3,1,NA,1,8,8.89423084259033,8879,1,131281,2,23.1884057971014,76.8115942028985
2001,1,33,1,1,1,60.0000038146973,4,2,2,10,3,3,1,8,8.9743595123291,3410,1,131291,1,22.5490196078431,77.4509803921569
2006,2,33,1,1,1,40,2,1,3,13,1,1,1,8,12.5,5647,1,131291,2,22.0779220779221,77.9220779220779
2006,2,29,1,1,2,24,2,1,2,8,1,1,1,8,12.25,7392,1,131301,4,25.7142857142857,74.2857142857143
2001,2,27,1,1,1,65,3,1,2,3,2,3,1,8,5.86420106887817,3247,2,131311,4,24.1379310344828,75.8620689655172
2006,2,32,1,1,2,18,2,1,2,16,1,1,1,8,9.14999961853027,5952,1,131311,1,21.2962962962963,78.7037037037037
2006,2,41,2,1,2,16,2,4,7,16,1,1,1,8,6.65000009536743,5150,4,131331,1,25.9615384615385,74.0384615384615
2006,2,42,1,1,1,37,4,1,3,20,1,1,1,8,15.5925159454346,5222,1,131351,3,28.9473684210526,71.0526315789474
2001,2,28,1,1,2,16,2,1,1,7,1,2,1,8,4.5,6494,1,131371,3,16.9230769230769,83.0769230769231
2006,1,50,2,1,1,47,4,4,7,34,1,1,1,8,NA,6251,6,131371,1,26.2295081967213,73.7704918032787
2006,1,26,1,1,1,40,4,1,2,9,2,1,1,8,20,8879,1,131381,1,29.5918367346939,70.4081632653061
2006,1,35,2,1,1,42,4,4,1,20,2,3,1,8,6.1904764175415,7107,6,131391,1,20.3703703703704,79.6296296296296
2006,2,41,1,1,1,43,5,2,2,22,2,1,4,8,13.4168157577515,5222,1,131401,4,24.025974025974,75.974025974026
2001,1,24,1,1,1,45,4,1,4,3,1,NA,1,8,7.692307472229,10866,1,131411,4,34.4827586206897,65.5172413793103
2006,2,51,1,1,2,8,2,3,2,30,1,1,1,8,7,5172,5,131441,3,19.1011235955056,80.8988764044944
2006,2,51,1,1,1,50,5,3,1,28,1,1,1,8,8.46153831481934,5101,2,131471,4,20.2898550724638,79.7101449275362
2006,2,29,1,1,1,45,2,1,2,6,2,1,1,8,6.15858364105225,4271,1,131481,NA,16.551724137931,83.448275862069
2001,2,51,1,1,2,12,5,1,2,20,NA,1,1,8,30,5800,1,131491,4,20,80
2006,2,28,1,1,1,40,4,1,3,8,2,1,1,8,12.1247119903564,7106,1,131501,4,21.4814814814815,78.5185185185185
2006,1,33,1,1,1,37,5,1,4,10,1,1,1,8,17.1517658233643,3260,1,131521,4,26.530612244898,73.469387755102
2001,2,24,1,1,1,38,5,1,2,2,2,1,1,8,6.70546579360962,6139,1,131621,4,26.0416666666667,73.9583333333333
2001,1,37,2,1,1,70,2,5,NA,21,1,1,1,8,14.2857141494751,7380,5,132011,1,24.4444444444444,75.5555555555556
2001,1,41,1,1,1,42,2,1,2,25,1,1,1,8,6.75,6040,1,132061,1,28.2828282828283,71.7171717171717
2006,1,34,2,1,1,40,2,5,NA,16,1,3,1,8,9.375,7107,5,132081,1,17.8571428571429,82.1428571428571
2001,1,39,1,1,1,37,4,1,3,22,1,1,1,8,NA,3617,1,132091,1,31.0344827586207,68.9655172413793
2001,2,38,1,1,2,30.0000019073486,3,2,2,20,1,1,1,8,4.25,3339,1,132101,2,25.8620689655172,74.1379310344828
2001,1,46,2,1,1,55,1,4,4,30,1,1,1,8,17.4825172424316,6542,4,132131,1,23.8938053097345,76.1061946902655
2001,2,28,2,1,2,3,2,5,NA,7,2,3,1,8,5,3441,6,132151,1,24,76
2006,2,40,1,1,1,36,5,1,2,22,1,3,1,8,13.3547010421753,2611,1,132151,1,16.0493827160494,83.9506172839506
2006,1,55,2,1,1,40,3,5,NA,38,1,2,1,8,8.30000019073486,6251,4,132161,NA,23.8095238095238,76.1904761904762
2006,1,39,2,1,1,8,2,5,NA,20,1,2,2,8,NA,3554,4,132191,1,16.6666666666667,83.3333333333333
2006,1,39,2,1,1,60,4,5,NA,24,1,2,1,8,5.12820529937744,3260,2,132231,1,21.2121212121212,78.7878787878788
2001,1,54,1,1,1,44,4,4,1,39,1,1,1,8,10.2799997329712,3500,1,132251,NA,20.8,79.2
2006,1,50,1,1,1,37,4,2,3,29,1,1,1,8,12.4740123748779,6363,3,132261,1,20.1680672268908,79.8319327731092
2001,2,42,1,1,1,40,5,3,1,19,1,1,1,8,7.5,5415,5,132271,1,22.4137931034483,77.5862068965517
2006,1,46,1,1,1,54,2,2,3,27,1,3,1,8,44.8717956542969,3438,3,132321,2,20.4379562043796,79.5620437956204
2006,1,39,1,1,1,42,3,1,3,17,1,3,1,8,25.1831493377686,3574,1,132331,2,27.0833333333333,72.9166666666667
2001,2,37,1,1,2,16,2,1,1,21,1,1,1,8,4.23250579833984,5681,1,132341,1,28.8135593220339,71.1864406779661
2001,2,20,1,1,1,38,2,5,NA,3,1,1,2,8,3.84999990463257,6882,1,132351,1,28.5714285714286,71.4285714285714
2001,2,48,2,1,2,25,4,5,NA,18,1,2,1,8,4.94999980926514,5920,2,132371,NA,17.3076923076923,82.6923076923077
2006,1,53,1,1,2,22,3,1,2,32,2,1,1,8,11.3583869934082,6462,1,132381,4,30.6930693069307,69.3069306930693
2006,2,55,1,1,2,23,3,2,1,29,1,1,1,8,5.05000019073486,5599,1,132391,1,20.6060606060606,79.3939393939394
2006,2,58,2,1,2,8,2,5,NA,19,1,3,1,8,5.25,5205,3,132421,3,2.94117647058824,97.0588235294118
2006,2,58,1,1,1,35,3,2,1,35,1,3,1,8,8.24175834655762,3109,5,132461,1,18.5185185185185,81.4814814814815
2001,2,52,1,1,1,37,3,2,2,28,2,3,1,8,13.2115383148193,5800,3,132481,4,25.4098360655738,74.5901639344262
2006,1,53,1,1,1,37,3,1,1,36,1,3,1,8,249.672302246094,3734,1,132501,3,24.223602484472,75.7763975155279
2006,1,54,1,1,1,37,5,1,2,38,2,3,1,8,17.1517658233643,6212,1,132511,1,19.0909090909091,80.9090909090909
2001,2,31,1,1,1,47,2,1,2,15,1,3,1,8,9.19999980926514,2841,1,132581,1,27,73
2001,1,46,1,1,1,37,4,2,3,29,1,3,1,8,12.7338876724243,6542,1,132601,2,30.379746835443,69.620253164557
2001,2,40,2,1,2,10,2,5,NA,14,2,3,1,8,4.61999988555908,5920,1,132611,1,5.71428571428571,94.2857142857143
2006,2,27,1,1,1,35,5,1,3,5,1,1,4,8,11.5384616851807,7791,1,133012,1,18.4210526315789,81.5789473684211
2001,2,35,1,1,1,40,5,1,2,17,2,2,1,8,10.1120195388794,6114,1,133021,3,21.1864406779661,78.8135593220339
2006,1,26,1,1,1,45,2,1,2,4,1,1,1,8,25,9357,1,133022,1,22.5806451612903,77.4193548387097
2001,1,58,2,1,1,34,4,5,NA,43,2,3,1,8,6.22171974182129,3533,1,133031,1,24.1379310344828,75.8620689655172
2001,2,52,1,1,2,20,4,1,2,24,2,3,1,8,6.82692337036133,5483,1,133041,3,31.7073170731707,68.2926829268293
2006,2,39,2,1,2,25,2,5,NA,19,1,1,1,8,5.25,2781,1,133042,1,24.21875,75.78125
2001,1,52,1,1,1,45,2,1,2,31,2,1,1,8,10.5128211975098,3006,4,133051,3,21.09375,78.90625
2006,2,30,1,1,1,40,5,2,2,8,1,1,1,8,10.5769233703613,5647,1,133052,1,25.3333333333333,74.6666666666667
2006,1,48,1,1,1,43,2,5,NA,34,1,3,1,8,10,6312,4,133062,3,22.8571428571429,77.1428571428572
2001,2,57,2,1,2,8,5,3,2,30,2,3,1,8,9,2695,4,133081,1,19.5121951219512,80.4878048780488
2006,1,50,2,1,1,30,5,4,7,25,1,2,1,8,8,3385,5,133092,1,18.75,81.25
2006,1,30,1,1,1,43,2,1,2,4,1,1,1,8,5.05000019073486,17648,1,133122,1,18.8976377952756,81.1023622047244
2001,1,54,1,1,1,50,4,1,2,39,1,1,1,8,7.69230794906616,7000,2,133131,3,25.8278145695364,74.1721854304636
2006,2,24,1,1,1,45,3,1,4,3,1,1,3,8,7.05128192901611,7106,1,133172,2,29.5652173913043,70.4347826086957
2001,1,58,2,1,1,40,2,5,NA,43,1,2,1,8,7.25,3533,3,133181,1,20.1923076923077,79.8076923076923
2006,1,50,1,1,1,39,3,3,1,22,1,3,1,8,7.72037696838379,3362,2,133202,1,18.1034482758621,81.8965517241379
2006,1,35,1,1,1,48,2,3,2,13,1,1,2,8,10.817307472229,3216,3,133222,2,22.0472440944882,77.9527559055118
2001,2,27,1,1,1,35,5,3,2,11,2,1,1,8,12,6034,2,133241,3,21.6494845360825,78.3505154639175
2001,2,55,1,1,1,48,2,1,2,23,2,1,1,8,9.89503192901611,2900,3,133271,4,22.5563909774436,77.4436090225564
2006,1,44,1,1,1,56,2,3,2,28,1,3,1,8,5.49450588226318,6272,1,133272,1,22.1476510067114,77.8523489932886
2006,1,32,1,1,1,45,2,1,2,15,1,1,1,8,16,10019,1,133292,1,31.5315315315315,68.4684684684685
2001,1,33,1,1,1,40,5,1,2,12,2,3,1,8,17.3076915740967,3690,1,133331,4,24.8,75.2
2001,2,21,1,1,1,40,5,2,2,2,1,NA,1,8,6,3247,1,133351,2,26.6666666666667,73.3333333333333
2006,1,35,1,1,1,40,5,1,4,12,1,1,1,8,14.423077583313,7149,1,133362,1,24.5614035087719,75.4385964912281
2001,1,44,1,1,1,45,3,1,2,25,1,1,1,8,6.01956367492676,3023,3,133381,1,21.6981132075472,78.3018867924528
2006,2,25,1,1,1,48,3,2,1,5,1,1,1,8,8,7791,5,133402,3,17.4311926605505,82.5688073394495
2001,1,50,1,1,1,45,5,2,2,33,2,1,4,8,10.6837606430054,3006,1,133411,1,23.4375,76.5625
2006,2,24,1,1,1,37,2,3,2,1,2,1,1,8,9.35550880432129,3504,5,133412,2,22.1153846153846,77.8846153846154
2006,1,29,2,1,1,47,5,5,NA,10,1,2,1,8,NA,8590,NA,133422,NA,21.9298245614035,78.0701754385965
2006,2,23,1,1,1,37,2,1,3,5,1,1,2,8,7.27650737762451,3846,3,133432,2,27.7372262773723,72.2627737226277
2006,2,26,1,1,1,35,4,1,2,4,1,1,1,8,18.4065933227539,8543,1,133472,1,24.5098039215686,75.4901960784314
2006,1,27,1,1,1,41,3,1,3,2,1,NA,1,8,11.4915571212769,5130,1,133502,2,30.2083333333333,69.7916666666667
2001,2,52,1,1,2,35,4,2,2,25,2,1,1,8,20,5800,1,133511,4,25.2336448598131,74.7663551401869
2006,1,53,1,1,1,55,5,5,NA,30,2,3,3,8,8.0600004196167,3385,5,133522,NA,9.52380952380952,90.4761904761905
2001,1,46,1,1,1,50,4,1,3,28,1,1,1,8,26.9230766296387,2809,1,133551,4,28.8288288288288,71.1711711711712
2001,1,59,1,1,1,48,4,3,2,44,1,1,1,8,9.21474361419678,6011,2,133571,1,27.4509803921569,72.5490196078431
2001,2,54,2,1,2,23,2,5,NA,18,1,3,1,8,6.5,5483,5,134041,1,18.0555555555556,81.9444444444444
2006,2,43,2,1,1,30,2,4,1,22,2,2,1,8,6.75,2575,5,134051,1,25.4385964912281,74.5614035087719
2001,2,32,2,1,2,8,4,4,8,16,3,1,1,8,NA,5681,3,134061,1,25.4545454545455,74.5454545454545
2006,2,34,1,1,2,28,4,1,2,17,1,3,1,8,10.3021984100342,5647,1,134061,1,26.530612244898,73.469387755102
2001,2,48,1,1,1,37,4,1,2,22,1,1,1,8,8.00415802001953,2710,9,134071,2,20.3703703703704,79.6296296296296
2006,2,28,1,1,2,20,4,1,4,10,1,1,1,8,6.19000005722046,7693,4,134071,1,20,80
2001,2,27,1,1,2,21,4,1,3,11,1,1,1,8,5.25,6882,1,134091,1,23.6363636363636,76.3636363636364
2006,2,36,1,1,2,27,3,4,1,18,1,2,1,8,4.7044734954834,5354,5,134091,2,22.2222222222222,77.7777777777778
2006,2,51,1,1,1,35,1,1,2,18,NA,1,1,8,9.34065914154053,2586,1,134101,1,22.5490196078431,77.4509803921569
2006,2,56,1,1,1,37,5,1,3,38,2,2,1,8,8.26000022888184,5172,1,134121,1,22.0338983050847,77.9661016949153
2001,1,42,1,1,1,45,4,1,2,25,1,2,1,8,14.1025638580322,3271,1,134131,3,27.5229357798165,72.4770642201835
2006,2,27,1,1,1,37,2,2,2,9,2,1,1,8,7.54625797271729,8543,1,134131,1,28.3464566929134,71.6535433070866
2006,2,44,1,1,1,40,2,1,2,22,1,1,1,8,7.75,2716,1,134141,1,16.9491525423729,83.0508474576271
2001,2,22,1,1,1,40,2,1,3,0,1,1,1,8,7.05417633056641,6139,1,134151,4,34.4086021505376,65.5913978494624
2006,1,24,1,1,1,38,3,1,3,7,1,1,1,8,9.1093111038208,8536,1,134151,1,25.2336448598131,74.7663551401869
2006,1,26,1,1,1,40,2,1,3,1,1,NA,3,8,14.423077583313,8536,1,134161,2,23.134328358209,76.865671641791
2001,1,39,1,1,1,36,2,2,2,20,2,3,1,8,14.4230766296387,3617,1,134171,2,31.5789473684211,68.4210526315789
2001,1,22,1,1,1,50,4,3,1,4,1,1,1,8,7,3424,1,134181,2,22.6190476190476,77.3809523809524
2001,1,36,2,1,1,55,2,5,NA,20,1,1,1,8,10.3636360168457,3617,6,134191,NA,19.2982456140351,80.7017543859649
2006,1,37,1,1,1,55,2,3,2,21,1,3,4,8,9.44055938720703,3340,3,134241,2,21.7821782178218,78.2178217821782
2001,2,44,1,1,2,7,2,5,NA,9,1,NA,1,8,5,5420,4,134261,2,28.169014084507,71.830985915493
2006,1,35,1,1,1,37,4,1,2,13,2,3,1,8,16.6320171356201,3260,1,134261,2,25.5639097744361,74.4360902255639
2006,1,42,1,1,1,37,5,1,3,26,2,3,1,8,18.1912670135498,6272,3,134271,4,22.8187919463087,77.1812080536913
2006,2,50,1,1,2,22,2,5,NA,29,NA,2,1,8,5.09999990463257,5172,3,134281,1,25.9615384615385,74.0384615384615
2001,1,26,1,1,1,50,2,1,3,8,1,1,1,8,24.8306999206543,3919,1,134291,2,20.1923076923077,79.8076923076923
2006,2,34,1,1,1,40,4,1,2,8,1,1,1,8,33.6538467407227,3263,1,134311,4,24.031007751938,75.968992248062
2006,2,39,1,1,1,36,3,1,3,20,1,1,1,8,10.7905988693237,5877,1,134351,1,20.4225352112676,79.5774647887324
2006,1,33,1,1,1,40,4,1,2,12,1,1,4,8,NA,3919,1,134371,4,27.9569892473118,72.0430107526882
2006,1,39,1,1,1,40,4,4,1,23,1,3,1,8,19.230770111084,6680,2,134391,2,26.027397260274,73.972602739726
2001,2,57,1,1,2,24,2,1,2,37,1,2,4,8,3.75,2742,3,134411,3,21.9178082191781,78.0821917808219
2006,1,44,1,1,1,48,4,2,1,27,1,1,1,8,12.8205137252808,6525,5,134431,1,21.1864406779661,78.8135593220339
2006,2,47,1,1,1,50,5,1,2,22,2,1,1,8,NA,2716,1,134441,4,23.5714285714286,76.4285714285714
2006,2,40,1,1,1,50,2,5,NA,19,1,1,1,8,6.59999990463257,5255,5,134461,1,23.7037037037037,76.2962962962963
2006,2,40,1,1,1,38,3,1,2,22,NA,3,1,8,9,5432,1,134471,2,24.468085106383,75.531914893617
2006,2,51,1,1,1,37,5,1,2,32,2,1,1,8,12.2141370773315,2690,1,134481,1,19.672131147541,80.327868852459
2001,2,30,1,1,1,41,2,1,2,13,1,1,1,8,5.86303949356079,5681,1,134531,1,23.1707317073171,76.8292682926829
2001,2,41,1,1,2,0,5,3,1,22,2,3,1,8,NA,2872,9,134581,2,20.8695652173913,79.1304347826087
2001,2,25,1,1,1,40,3,2,2,10,1,1,1,8,6.48999977111816,6882,1,134601,4,21.6417910447761,78.3582089552239
2001,2,36,2,1,1,37,2,5,NA,17,2,1,1,8,13.0200004577637,2841,6,135031,4,26.7716535433071,73.2283464566929
2001,2,35,1,1,1,50,4,1,2,13,2,1,1,8,NA,6114,1,135061,4,21.9047619047619,78.0952380952381
2006,1,30,1,1,1,50,4,1,3,12,1,2,1,8,18,6680,1,135062,2,25,75
2001,1,57,2,1,1,37,2,5,NA,29,1,1,2,8,9.87525939941406,14000,6,135141,4,25.2252252252252,74.7747747747748
2006,1,57,1,1,1,56,3,4,7,44,1,3,1,8,8.75,6771,5,135142,NA,20.3703703703704,79.6296296296296
2001,1,41,1,1,1,60.0000038146973,4,2,2,25,2,1,1,8,11.5384616851807,6046,2,135161,3,26.890756302521,73.109243697479
2006,2,39,1,1,1,48,3,2,3,21,1,1,1,8,6.81089735031128,2976,5,135212,1,19.1919191919192,80.8080808080808
2006,1,32,1,1,1,38,2,3,7,16,2,3,1,8,15,3281,6,135232,1,24.2718446601942,75.7281553398058
2001,2,42,1,1,1,40,4,1,2,25,2,1,1,8,8.17307662963867,7686,1,135271,2,19.047619047619,80.9523809523809
2001,2,44,1,1,1,60.0000038146973,2,2,2,26,1,3,1,8,24.0384616851807,2932,1,135281,2,23.6842105263158,76.3157894736842
2006,2,44,2,1,2,16,2,5,NA,18,1,2,1,8,3,5653,6,135292,1,3.57142857142857,96.4285714285714
2001,2,36,1,1,1,45,1,1,3,16,2,1,1,8,12.8205127716064,6616,5,135301,1,30.7692307692308,69.2307692307692
2006,1,24,1,1,1,38,2,1,3,8,1,1,1,8,NA,8743,1,135302,1,25,75
2001,2,37,1,1,2,20,3,2,1,18,1,3,1,8,6.69999980926514,5780,1,135311,2,26.7605633802817,73.2394366197183
2001,2,27,1,1,1,37,2,1,2,6,1,1,1,8,15.5925159454346,7026,1,135321,4,22.2222222222222,77.7777777777778
2001,2,39,2,1,2,30.0000019073486,3,1,2,8,2,NA,1,8,11.5384616851807,5681,1,135331,4,29.8245614035088,70.1754385964912
2006,2,35,1,1,1,35,3,1,2,17,1,1,1,8,NA,5647,1,135352,1,18.6046511627907,81.3953488372093
2006,1,27,1,1,1,48,2,2,3,4,3,1,1,8,11.2179489135742,9357,1,135382,4,15.1785714285714,84.8214285714286
2006,2,44,1,1,1,35,3,1,3,18,2,NA,1,8,7.79065895080566,2716,3,135402,1,25.3623188405797,74.6376811594203
2006,1,40,1,1,1,40,2,1,4,18,1,2,1,8,14.423077583313,7540,1,135462,3,30.0970873786408,69.9029126213592
